vendor_code,property_code,gl_code,gl_description,count
004045,282,9770000,TENANTIMPROVEMENTS ANYTIMEFITTIA,1
A1C005,282,5390000,PARKINGLOTREPAIRS/MAINT SIDEWALKLEVELING,1
AAR002,140,5520000,PLUMBING/SEWERREPAIRS TESTBACKFLOW,3
AAR002,227,5520000,PLUMBING/SEWERREPAIRS TESTBACKFLOW,5
AAR002,295,5520000,PLUMBING/SEWERREPAIRS TESTBACKFLOW,1
AAR002,401,5520000,PLUMBING/SEWERREPAIRS TESTBACKFLOW,4
AAR002,401,5530000,ROOFINGREPAIRS TRIPCHARGE-ROOFDRAINLEAK,1
AAR002,650,5520000,PLUMBING/SEWERREPAIRS,3
AAR002,651,5520000,PLUMBING/SEWERREPAIRS NEWCOPPER,3
ACE007,220,5550000,SECURITY/ALARMSERVICE ACCESSSOFTWAREINSTALL,1
ACE007,220,9130000,BUILDINGIMPROVEMENTS ACCESSCONTROLSYSTEM INT,1
ACS001,401,7170000,CONTRIBUTIONS&DONATIONS RELAYFORLIFEDONATION,2
ACT010,140,9130000,BUILDINGIMPROVEMENTS,1
ACT010,145,9130000,BUILDINGIMPROVEMENTS PAINTINGOFFRONTOFSHOPPING,2
ACT010,160,5096000,EXTERIORPAINTING AT&TEXTERIORPAINTING,1
ACT010,160,9130000,BUILDINGIMPROVEMENTS,1
ACT010,227,5096000,EXTERIORPAINTING RETAININGWALL/CORPORATEOFFIC,1
ACT010,258,9130000,BUILDINGIMPROVEMENTS,7
ACT010,650,9130000,BUILDINGIMPROVEMENTS,1
ACT010,651,5096000,EXTERIORPAINTING EXTERIOR&DUMPSTERGATEPAINT,1
ADV001,227,5310000,MAINTENANCESUPPLIES EXTRAHOTCARTRIDGES,2
ADV001,227,5520000,PLUMBING/SEWERREPAIRS REPAIRKIT,8
AEI001,251,1250109,INV-BOCACONVERSION ALTASURVEY,1
AER004,227,9770000,TENANTIMPROVEMENTS,2
AER004,282,9130000,BUILDINGIMPROVEMENTS,3
AER005,140,1370001,PREPDLEASECOST-NEW,2
AER005,650,1370001,PREPDLEASECOST-NEW,1
AER005,650,6550000,SECURITY/ALARMSERVICE BROKEREVENT,1
AID001,145,7290000,LEGALFEES&COSTS SYMETRAREFINANCE,1
AID001,145,7490000,OTHERPROFESSIONALFEES CRAVEEVICTION,2
AID001,220,7290000,LEGALFEES&COSTS GREENRDACQUISITIONANDLEASE,2
AID001,227,7490000,OTHERPROFESSIONALFEES STHRNFRMBUREAUREFINANCING,1
AID001,235,1520000,MORTGAGECOSTS ACQUISITIONOFHIGHLANDLAKES,1
AID001,251,7290000,LEGALFEES&COSTS LEGALINVFORTERMLEGACYPARK,1
AID001,255,7290000,LEGALFEES&COSTS ACQUISITIONANDLEASE,1
AID001,270,7290000,LEGALFEES&COSTS FISHERMAN'SLANDINGACQUISITIO,1
AID001,277,7290000,LEGALFEES&COSTS,1
AID001,324,7290000,LEGALFEES&COSTS OLDNATIONALLOANFINANCING&,1
AID001,401,7290000,LEGALFEES&COSTS ELITEBRIDAL,3
AID001,651,7490000,OTHERPROFESSIONALFEES BDDCRAVE/DRIVENDEMANDLETTER,1
AID001,707,7290000,LEGALFEES&COSTS OLDNATIONALBANKREFINANCING,1
AID001,920,1160075,A/R-DHSMISC,1
AKE001,277,7490000,OTHERPROFESSIONALFEES BOCACONSTRUCTIONAGREEMENT,4
AKT002,145,7490000,OTHERPROFESSIONALFEES,11
AKT002,251,1250115,INV-NORTHVILLE ENVIRONMENTAL,1
AKT002,251,7490000,OTHERPROFESSIONALFEES SUB-SLABDEPRESSSYSPRE-TEST/,1
AKT002,650,1640101,CIP-BASELINEENVIRONSITE,1
AKT002,650,7490000,OTHERPROFESSIONALFEES,2
AKT002,651,1640101,CIP-BASELINEENVIRONSITE SWINGSPACEVMSSYSTEM,5
AKT002,651,7490000,OTHERPROFESSIONALFEES SWINGSPACEVMS,8
ALE005,190,9450000,FURNITURE/EQUIPMENT,1
ALG001,258,5171000,LANDSCAPING ADDITIONALSERVICES,1
ALG001,258,5172000,LAWNMAINTENANCE,8
ALL011,700,4810002,REFUNDMGTFEESONACO%RENT,1
ALL036,220,5550000,SECURITY/ALARMSERVICE FIRESYSTEMTEST&INSPECTR,9
ALL036,227,5550000,SECURITY/ALARMSERVICE FIRESYSTEMTEST&INSPECTR,3
ALL036,227,9130000,BUILDINGIMPROVEMENTS INSTALLFIRESYSTEM,3
ALL036,282,5550000,SECURITY/ALARMSERVICE,14
ALL036,282,6670000,TENANTBILLINGS TENANTBILLINGS,1
ALL036,650,5550000,SECURITY/ALARMSERVICE MONITORING/TEST/INSPECT,12
ALL036,650,9130000,BUILDINGIMPROVEMENTS INSTALLFIRESYSTEM,1
ALL041,401,9330000,DOORS&WINDOWS GARAGEDOORSENSORS,1
ALL042,277,1640000,CONSTRUCTIONINPROGRESS BOCAPAVEMENTDEPOSIT,1
ALT004,650,5130000,"EQUIP-REPAIRS,SUPPL,RENTL",3
AME036,401,5520000,PLUMBING/SEWERREPAIRS PROPERTYLEAKDETECTION,1
AMO002,255,5570000,SNOWREMOVAL,7
AMR002,235,5530000,ROOFINGREPAIRS LEAKREPAIR,1
AMR002,235,5570000,SNOWREMOVAL SALONFORTEVENTCAPLEAKR,1
AMR002,235,6530000,ROOFINGREPAIRS SALONFORTEVENTCAPLEAKR,3
ANA001,401,5270000,JANITORIALSERVICE FILLINJANITORIALSERVICES,2
ANA001,401,5270001,JANITORIALSVCS-BLDG1,30
